iter	Passed	Remaining
0	0	97
1	2	103
2	2	92
3	3	84
4	4	80
5	4	76
6	5	73
7	6	70
8	6	68
9	7	68
10	8	67
11	9	66
12	9	65
13	10	64
14	11	62
15	11	61
16	12	60
17	13	59
18	14	62
19	15	61
20	16	60
21	16	59
22	17	58
23	18	57
24	18	56
25	19	55
26	20	55
27	21	54
28	21	53
29	22	52
30	23	51
31	23	50
32	24	49
33	25	48
34	25	47
35	26	46
36	26	45
37	27	44
38	28	44
39	28	43
40	29	42
41	29	40
42	30	40
43	31	39
44	31	38
45	32	37
46	33	37
47	33	36
48	34	35
49	34	34
50	35	34
51	36	33
52	36	32
53	37	31
54	37	31
55	38	30
56	39	29
57	39	28
58	40	28
59	41	27
60	41	26
61	42	25
62	43	25
63	43	24
64	44	23
65	45	23
66	45	22
67	46	21
68	47	21
69	47	20
70	48	19
71	49	19
72	49	18
73	50	17
74	51	17
75	51	16
76	52	15
77	53	14
78	53	14
79	54	13
80	54	12
81	55	12
82	56	11
83	56	10
84	57	10
85	58	9
86	59	8
87	59	8
88	60	7
89	61	6
90	61	6
91	62	5
92	63	4
93	63	4
94	64	3
95	64	2
96	65	2
97	66	1
98	66	0
99	67	0
